rmse,r2_train,r2_test
2142.135257532162,0.8097949988172572,0.8927463131268688
3452.4615807142104,0.8166046189249235,0.8137431414001468
3067.398173015976,0.8130513304980832,0.8465516180359968
2955.4224042918536,0.8218433466168356,0.6840270141265834
2903.297033917107,0.8053896016087516,0.8910849550804991
4648.179263855966,0.8303479145834713,0.6810073086220378
4135.43201486573,0.8211141007042677,0.740540696982797
3921.9249655882363,0.8081124018161857,0.8489208763810668
3964.48283857548,0.8267727182646367,0.6800871330052041
3728.534712479642,0.8209873132119707,0.7592482922112459
