rmse,r2_train,r2_test
2100.388132302136,0.8020687970630619,0.8968860169593156
3525.8271475893744,0.8087527458207042,0.8057430347408746
3052.413199095839,0.8058218298378544,0.8480472200178883
3035.2142232864226,0.8152792562553324,0.6667351356467898
3194.446881742233,0.7980845919797784,0.8681450993075691
4696.357338663087,0.82254810872576,0.6743603617719192
3335.9226022572543,0.810270653607884,0.8311661951929958
4352.6680164185655,0.8008847554498881,0.8139125929700185
4131.740244574109,0.8194358649348312,0.6525241354443887
3614.7745997620073,0.8132410407631263,0.7737151705954668
