rmse,r2_train,r2_test
1893.1092841948566,0.9713227958635401,0.9162336056305197
1709.079949856062,0.9704985285104701,0.9543564596077845
1878.291397786829,0.9732928219675461,0.9424629033641336
2870.8836161537442,0.9758800411250836,0.7018450628142505
2531.22046402521,0.9710831013680833,0.9172124786605971
7132.274826449133,0.9738836311044996,0.2489460512825976
3456.4878019457847,0.9743986067809418,0.8187418541435182
2155.8490989630977,0.9691571664708907,0.9543498074955601
1847.8087901620124,0.9732652533565371,0.9305019401148727
2333.9757871494726,0.9707696741504436,0.9056622122377452
